compute,draw,frame
17.35,0.05,17.40
17.21,0.05,17.27
17.22,0.05,17.28
16.54,0.05,16.60
16.25,0.05,16.30
16.49,0.06,16.55
17.32,0.05,17.37
17.49,0.05,17.54
17.49,0.05,17.54
17.29,0.05,17.35
17.25,0.05,17.31
17.17,0.05,17.23
17.30,0.05,17.35
16.97,0.05,17.02
17.89,0.05,17.94
16.47,0.06,16.52
17.59,0.05,17.65
16.46,0.05,16.52
16.45,0.05,16.51
16.44,0.07,16.51
17.53,0.05,17.58
17.05,0.05,17.10
16.41,0.05,16.46
17.12,0.05,17.17
16.42,0.05,16.47
17.40,0.05,17.45
17.06,0.05,17.11
16.95,0.05,17.00
16.39,0.05,16.45
16.37,0.06,16.43
16.37,0.05,16.42
17.06,0.05,17.12
17.11,0.05,17.16
17.13,0.05,17.18
17.11,0.05,17.16
17.56,0.05,17.61
17.09,0.05,17.14
17.19,0.05,17.24
17.10,0.05,17.16
16.86,0.05,16.91
16.41,0.05,16.46
17.53,0.05,17.58
17.13,0.05,17.18
16.38,0.05,16.43
17.08,0.05,17.13
17.14,0.05,17.19
17.18,0.05,17.24
17.12,0.05,17.17
17.21,0.05,17.26
17.17,0.05,17.23
17.18,0.05,17.24
17.39,0.05,17.45
16.93,0.05,16.99
16.41,0.06,16.48
16.38,0.06,16.44
16.39,0.06,16.45
16.42,0.05,16.47
17.12,0.05,17.18
17.04,0.05,17.09
17.28,0.05,17.33
17.28,0.05,17.34
17.13,0.05,17.18
17.18,0.05,17.24
17.31,0.05,17.36
16.88,0.05,16.93
16.39,0.05,16.44
16.35,0.05,16.41
16.45,0.05,16.50
17.22,0.05,17.27
17.25,0.05,17.30
17.13,0.05,17.18
17.18,0.05,17.23
17.09,0.05,17.14
17.97,0.05,18.03
16.44,0.05,16.49
17.79,0.05,17.84
17.62,0.05,17.67
16.33,0.05,16.38
16.90,0.05,16.96
16.40,0.05,16.45
17.47,0.05,17.52
16.84,0.05,16.90
16.66,0.05,16.71
16.45,0.06,16.51
16.94,0.05,17.00
16.46,0.05,16.51
16.92,0.05,16.97
17.17,0.05,17.23
16.94,0.05,16.99
16.37,0.06,16.43
16.42,0.05,16.48
16.37,0.05,16.43
16.47,0.06,16.53
17.05,0.05,17.10
17.17,0.05,17.23
17.64,0.05,17.69
16.97,0.05,17.02
16.94,0.05,16.99
17.10,0.05,17.15
17.24,0.05,17.30
17.19,0.05,17.24
17.07,0.05,17.12
16.43,0.06,16.49
16.36,0.05,16.42
16.46,0.05,16.51
16.42,0.06,16.48
17.18,0.05,17.23
17.60,0.05,17.65
16.41,0.06,16.47
17.31,0.05,17.36
17.33,0.05,17.38
17.07,0.05,17.12
17.22,0.05,17.27
16.93,0.05,16.99
16.39,0.06,16.45
16.39,0.05,16.44
16.21,0.05,16.26
16.37,0.05,16.43
17.48,0.05,17.53
17.46,0.05,17.52
17.30,0.05,17.35
16.90,0.05,16.95
16.91,0.05,16.97
17.18,0.05,17.23
17.19,0.05,17.25
16.98,0.05,17.03
17.17,0.05,17.22
16.41,0.06,16.47
17.58,0.05,17.63
18.56,0.05,18.61
16.39,0.05,16.44
17.82,0.05,17.87
17.73,0.05,17.78
16.36,0.05,16.41
17.33,0.05,17.39
17.27,0.05,17.33
17.89,0.05,17.95
17.60,0.05,17.65
16.34,0.05,16.40
17.09,0.05,17.14
16.39,0.05,16.44
17.06,0.05,17.11
16.35,0.05,16.40
17.03,0.05,17.09
17.14,0.05,17.19
17.22,0.05,17.27
16.87,0.05,16.92
17.22,0.05,17.27
16.98,0.05,17.03
16.93,0.05,16.99
16.86,0.05,16.92
16.37,0.07,16.44
16.28,0.05,16.33
16.37,0.05,16.42
17.10,0.05,17.15
17.03,0.05,17.08
17.13,0.05,17.18
17.14,0.05,17.19
16.80,0.05,16.86
16.96,0.05,17.02
17.31,0.05,17.36
16.39,0.05,16.44
17.04,0.05,17.09
16.93,0.05,16.99
16.39,0.05,16.45
16.38,0.05,16.44
17.22,0.05,17.27
16.32,0.06,16.38
17.26,0.05,17.31
16.27,0.05,16.32
16.93,0.05,16.98
17.12,0.05,17.17
17.50,0.05,17.55
17.16,0.05,17.21
17.21,0.05,17.26
16.39,0.05,16.44
16.96,0.05,17.01
16.91,0.05,16.96
16.35,0.05,16.40
16.38,0.05,16.44
16.35,0.05,16.41
17.58,0.05,17.63
17.43,0.05,17.49
17.10,0.05,17.15
17.05,0.05,17.11
17.13,0.05,17.19
17.18,0.05,17.23
16.36,0.05,16.41
19.06,0.05,19.11
17.48,0.05,17.53
16.41,0.05,16.46
17.19,0.05,17.24
17.26,0.05,17.31
17.19,0.05,17.24
16.40,0.05,16.45
17.95,0.05,18.01
17.46,0.05,17.51
17.42,0.05,17.47
17.21,0.05,17.26
17.21,0.05,17.26
17.75,0.05,17.81
17.47,0.05,17.53
16.44,0.05,16.49
16.37,0.05,16.42
16.34,0.06,16.40
16.43,0.05,16.48
17.19,0.05,17.24
17.21,0.05,17.26
16.94,0.05,16.99
16.97,0.05,17.02
17.26,0.05,17.31
16.41,0.05,16.46
17.00,0.05,17.05
16.95,0.05,17.00
16.40,0.05,16.45
16.40,0.05,16.45
16.39,0.05,16.44
16.39,0.06,16.45
17.01,0.05,17.06
17.55,0.05,17.60
16.97,0.05,17.03
18.08,0.05,18.13
16.97,0.05,17.02
17.16,0.05,17.21
17.00,0.05,17.05
16.99,0.05,17.05
16.87,0.05,16.92
16.35,0.05,16.41
16.40,0.05,16.46
16.39,0.05,16.44
16.27,0.06,16.33
17.12,0.05,17.17
17.27,0.05,17.32
17.59,0.05,17.65
17.42,0.05,17.47
17.05,0.05,17.10
17.11,0.05,17.16
16.32,0.05,16.37
17.03,0.05,17.09
16.92,0.05,16.97
17.19,0.05,17.24
16.95,0.05,17.00
16.20,0.05,16.26
16.97,0.05,17.02
16.27,0.05,16.33
16.30,0.06,16.35
17.90,0.05,17.95
17.54,0.05,17.59
17.49,0.05,17.54
16.91,0.05,16.96
16.88,0.05,16.93
16.27,0.05,16.32
16.27,0.06,16.33
16.30,0.05,16.36
16.22,0.06,16.29
16.24,0.05,16.29
16.86,0.05,16.91
16.26,0.05,16.31
17.02,0.05,17.07
17.03,0.05,17.08
16.80,0.05,16.85
17.01,0.05,17.06
16.70,0.05,16.75
16.22,0.05,16.27
16.83,0.05,16.88
16.26,0.06,16.32
17.00,0.05,17.05
16.23,0.05,16.29
17.66,0.05,17.71
16.26,0.06,16.32
16.98,0.05,17.04
16.80,0.05,16.85
17.08,0.05,17.13
16.89,0.05,16.94
16.73,0.05,16.78
16.90,0.05,16.95
16.78,0.05,16.83
16.78,0.05,16.84
16.25,0.06,16.31
16.24,0.05,16.29
16.96,0.05,17.01
16.89,0.05,16.95
17.10,0.05,17.16
17.09,0.05,17.14
17.13,0.05,17.18
16.76,0.05,16.81
16.27,0.05,16.32
17.00,0.05,17.05
16.75,0.05,16.80
16.65,0.05,16.71
16.25,0.06,16.30
16.25,0.05,16.30
16.26,0.06,16.32
16.85,0.05,16.90
16.99,0.05,17.05
17.26,0.05,17.31
17.03,0.05,17.08
16.99,0.05,17.04
16.25,0.05,16.30
17.11,0.05,17.16
16.87,0.05,16.93
16.97,0.05,17.02
17.65,0.05,17.70
16.29,0.05,16.34
17.38,0.05,17.43
16.26,0.05,16.32
16.28,0.05,16.33
16.89,0.05,16.94
17.04,0.05,17.09
16.72,0.05,16.77
17.07,0.05,17.12
16.82,0.05,16.87
16.95,0.05,17.00
16.26,0.05,16.31
16.83,0.06,16.89
16.77,0.05,16.82
16.32,0.06,16.38
16.25,0.05,16.31
16.25,0.05,16.30
17.00,0.05,17.05
